cell_class	channel_combo	leiden_resolution
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	5
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	6
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	7
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	8
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	9
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	10
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	11
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	12
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	13
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	14
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	15
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	16
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	17
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	5
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	6
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	7
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	8
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	9
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	10
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	11
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	12
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	13
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	14
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	15
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	16
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	17
Interphase	DAPI_ACA_CENPT	5
Interphase	DAPI_ACA_CENPT	6
Interphase	DAPI_ACA_CENPT	7
Interphase	DAPI_ACA_CENPT	8
Interphase	DAPI_ACA_CENPT	9
Interphase	DAPI_ACA_CENPT	10
Interphase	DAPI_ACA_CENPT	11
Interphase	DAPI_ACA_CENPT	12
Interphase	DAPI_ACA_CENPT	13
Interphase	DAPI_ACA_CENPT	14
Interphase	DAPI_ACA_CENPT	15
Interphase	DAPI_ACA_CENPT	16
Interphase	DAPI_ACA_CENPT	17
Interphase	DAPI_CENPT	5
Interphase	DAPI_CENPT	6
Interphase	DAPI_CENPT	7
Interphase	DAPI_CENPT	8
Interphase	DAPI_CENPT	9
Interphase	DAPI_CENPT	10
Interphase	DAPI_CENPT	11
Interphase	DAPI_CENPT	12
Interphase	DAPI_CENPT	13
Interphase	DAPI_CENPT	14
Interphase	DAPI_CENPT	15
Interphase	DAPI_CENPT	16
Interphase	DAPI_CENPT	17
Interphase	ACA_CENPT	5
Interphase	ACA_CENPT	6
Interphase	ACA_CENPT	7
Interphase	ACA_CENPT	8
Interphase	ACA_CENPT	9
Interphase	ACA_CENPT	10
Interphase	ACA_CENPT	11
Interphase	ACA_CENPT	12
