plate	round	well	tile
1	1	A2	0
1	2	A2	0
1	1	A2	1
1	2	A2	1
1	1	A2	2
1	2	A2	2
1	1	A2	3
1	2	A2	3
1	1	A2	4
1	2	A2	4
1	1	A2	5
1	2	A2	5
1	1	A2	6
1	2	A2	6
1	1	A2	7
1	2	A2	7
1	1	A2	8
1	2	A2	8
1	1	A2	9
1	2	A2	9
1	1	A2	10
1	2	A2	10
1	1	A2	11
1	2	A2	11
1	1	A2	12
1	2	A2	12
1	1	A2	13
1	2	A2	13
1	1	A2	14
1	2	A2	14
1	1	A2	15
1	2	A2	15
1	1	A2	16
1	2	A2	16
1	1	A2	17
1	2	A2	17
1	1	A2	18
1	2	A2	18
1	1	A2	19
1	2	A2	19
1	1	A2	20
1	2	A2	20
1	1	A2	21
1	2	A2	21
1	1	A2	22
1	2	A2	22
1	1	A2	23
1	2	A2	23
1	1	A2	24
1	2	A2	24
1	1	A2	25
1	2	A2	25
1	1	A2	26
1	2	A2	26
1	1	A2	27
1	2	A2	27
1	1	A2	28
1	2	A2	28
1	1	A2	29
1	2	A2	29
1	1	A2	30
1	2	A2	30
1	1	A2	31
1	2	A2	31
1	1	A2	32
1	2	A2	32
1	1	A2	33
1	2	A2	33
1	1	A2	34
1	2	A2	34
1	1	A2	35
1	2	A2	35
1	1	A2	36
1	2	A2	36
1	1	A2	37
1	2	A2	37
1	1	A2	38
1	2	A2	38
1	1	A2	39
1	2	A2	39
1	1	A2	40
1	2	A2	40
1	1	A2	41
1	2	A2	41
1	1	A2	42
1	2	A2	42
1	1	A2	43
1	2	A2	43
1	1	A2	44
1	2	A2	44
1	1	A2	45
1	2	A2	45
1	1	A2	46
1	2	A2	46
1	1	A2	47
1	2	A2	47
1	1	A2	48
1	2	A2	48
1	1	A2	49
1	2	A2	49
1	1	A2	50
1	2	A2	50
1	1	A2	51
1	2	A2	51
1	1	A2	52
1	2	A2	52
1	1	A2	53
1	2	A2	53
1	1	A2	54
1	2	A2	54
1	1	A2	55
1	2	A2	55
1	1	A2	56
1	2	A2	56
1	1	A2	57
1	2	A2	57
1	1	A2	58
1	2	A2	58
1	1	A2	59
1	2	A2	59
1	1	A2	60
1	2	A2	60
1	1	A2	61
1	2	A2	61
1	1	A2	62
1	2	A2	62
1	1	A2	63
1	2	A2	63
1	1	A2	64
1	2	A2	64
1	1	A2	65
1	2	A2	65
1	1	A2	66
1	2	A2	66
1	1	A2	67
1	2	A2	67
1	1	A2	68
1	2	A2	68
1	1	A2	69
1	2	A2	69
1	1	A2	70
1	2	A2	70
1	1	A2	71
1	2	A2	71
1	1	A2	72
1	2	A2	72
1	1	A2	73
1	2	A2	73
1	1	A2	74
1	2	A2	74
1	1	A2	75
1	2	A2	75
1	1	A2	76
1	2	A2	76
1	1	A2	77
1	2	A2	77
1	1	A2	78
1	2	A2	78
1	1	A2	79
1	2	A2	79
1	1	A2	80
1	2	A2	80
1	1	A2	81
1	2	A2	81
1	1	A2	82
1	2	A2	82
1	1	A2	83
1	2	A2	83
1	1	A2	84
1	2	A2	84
1	1	A2	85
1	2	A2	85
1	1	A2	86
1	2	A2	86
1	1	A2	87
1	2	A2	87
1	1	A2	88
1	2	A2	88
1	1	A2	89
1	2	A2	89
1	1	A2	90
1	2	A2	90
1	1	A2	91
1	2	A2	91
1	1	A2	92
1	2	A2	92
1	1	A2	93
1	2	A2	93
1	1	A2	94
1	2	A2	94
1	1	A2	95
1	2	A2	95
1	1	A2	96
1	2	A2	96
1	1	A2	97
1	2	A2	97
1	1	A2	98
1	2	A2	98
1	1	A2	99
1	2	A2	99
1	1	A2	100
1	2	A2	100
1	1	A2	101
1	2	A2	101
1	1	A2	102
1	2	A2	102
1	1	A2	103
1	2	A2	103
1	1	A2	104
1	2	A2	104
1	1	A2	105
1	2	A2	105
1	1	A2	106
1	2	A2	106
1	1	A2	107
1	2	A2	107
1	1	A2	108
1	2	A2	108
1	1	A2	109
1	2	A2	109
1	1	A2	110
1	2	A2	110
1	1	A2	111
1	2	A2	111
1	1	A2	112
1	2	A2	112
1	1	A2	113
1	2	A2	113
1	1	A2	114
1	2	A2	114
1	1	A2	115
1	2	A2	115
1	1	A2	116
1	2	A2	116
1	1	A2	117
1	2	A2	117
1	1	A2	118
1	2	A2	118
1	1	A2	119
1	2	A2	119
1	1	A2	120
1	2	A2	120
1	1	A2	121
1	2	A2	121
1	1	A2	122
1	2	A2	122
1	1	A2	123
1	2	A2	123
1	1	A2	124
1	2	A2	124
1	1	A2	125
1	2	A2	125
1	1	A2	126
1	2	A2	126
1	1	A2	127
1	2	A2	127
1	1	A2	128
1	2	A2	128
1	1	A2	129
1	2	A2	129
1	1	A2	130
1	2	A2	130
1	1	A2	131
1	2	A2	131
1	1	A2	132
1	2	A2	132
1	1	A2	133
1	2	A2	133
1	1	A2	134
1	2	A2	134
1	1	A2	135
1	2	A2	135
1	1	A2	136
1	2	A2	136
1	1	A2	137
1	2	A2	137
1	1	A2	138
1	2	A2	138
1	1	A2	139
1	2	A2	139
1	1	A2	140
1	2	A2	140
1	1	A2	141
1	2	A2	141
1	1	A2	142
1	2	A2	142
1	1	A2	143
1	2	A2	143
1	1	A2	144
1	2	A2	144
1	1	A2	145
1	2	A2	145
1	1	A2	146
1	2	A2	146
1	1	A2	147
1	2	A2	147
1	1	A2	148
1	2	A2	148
1	1	A2	149
1	2	A2	149
1	1	A2	150
1	2	A2	150
1	1	A2	151
1	2	A2	151
1	1	A2	152
1	2	A2	152
1	1	A2	153
1	2	A2	153
1	1	A2	154
1	2	A2	154
1	1	A2	155
1	2	A2	155
1	1	A2	156
1	2	A2	156
1	1	A2	157
1	2	A2	157
1	1	A2	158
1	2	A2	158
1	1	A2	159
1	2	A2	159
1	1	A2	160
1	2	A2	160
1	1	A2	161
1	2	A2	161
1	1	A2	162
1	2	A2	162
1	1	A2	163
1	2	A2	163
1	1	A2	164
1	2	A2	164
1	1	A2	165
1	2	A2	165
1	1	A2	166
1	2	A2	166
1	1	A2	167
1	2	A2	167
1	1	A2	168
1	2	A2	168
1	1	A2	169
1	2	A2	169
1	1	A2	170
1	2	A2	170
1	1	A2	171
1	2	A2	171
1	1	A2	172
1	2	A2	172
1	1	A2	173
1	2	A2	173
1	1	A2	174
1	2	A2	174
